53 - Despesa em saúde per capita
Despesa em saúde per capita por Município e Ano
Período:2020-2022
"Município";"2020";"2021";"2022";"Total"
"353670 Pederneiras";1040,49;1253,67;1362,06;1219,12
"353680 Pedra Bela";820,91;1219,36;1420,32;1155,46
"353690 Pedranópolis";1941,65;1731,49;2316,62;1996,74
"353700 Pedregulho";885,27;970,07;1358,00;1070,45
"353710 Pedreira";1028,77;1178,12;1278,99;1162,02
"353715 Pedrinhas Paulista";2054,51;2289,88;2896,60;2411,49
"353720 Pedro de Toledo";1188,41;1247,91;1544,48;1327,55
"353730 Penápolis";1289,93;1298,89;1345,20;1311,35
"353740 Pereira Barreto";1258,62;1364,00;1568,50;1396,22
"353750 Pereiras";996,73;1209,58;1283,65;1164,28
"353760 Peruíbe";1214,52;1378,32;1544,75;1379,94
"353770 Piacatu";1061,95;1245,20;1685,69;1330,61
"353780 Piedade";702,76;817,51;1015,20;844,99
"353790 Pilar do Sul";933,31;997,12;1127,27;1019,30
"353800 Pindamonhangaba";1180,24;1301,72;1416,52;1300,04
"353810 Pindorama";1076,30;1027,91;1224,16;1109,18
"353820 Pinhalzinho";643,26;676,75;957,98;760,14
"353830 Piquerobi";1661,72;1598,52;2635,04;1962,40
"353850 Piquete";910,75;994,82;1196,98;1032,63
"353860 Piracaia";791,70;860,84;1009,48;887,31
"353870 Piracicaba";1087,81;1142,49;1165,15;1132,05
"353880 Piraju";1079,34;1253,10;1429,87;1254,06
"353890 Pirajuí";794,70;865,44;986,65;881,91
"353900 Pirangi";1162,68;1408,58;1924,36;1498,34
"353910 Pirapora do Bom Jesus";914,10;941,96;1026,55;961,27
"353920 Pirapozinho";1041,99;1077,85;1152,54;1090,77
"353930 Pirassununga";937,75;1054,65;1156,37;1049,64
"353940 Piratininga";1058,30;1079,37;1291,01;1143,96
"353950 Pitangueiras";1149,27;1195,08;1306,72;1216,61
"353960 Planalto";1963,61;2073,39;2659,46;2230,74
"353970 Platina";1650,98;2153,41;2309,61;2035,80
"353980 Poá";1133,01;918,10;957,38;1003,19
"353990 Poloni";983,30;1046,27;1363,85;1131,21
"354000 Pompéia";1589,32;1740,13;1777,60;1702,22
